Found 1843 _metadata.json files

================================================================================
FIELD STATISTICS
================================================================================
Total fields (from all files): 13712
Total check (non-dup + sum of dup counts): 13712
Unique fields: 2711
Duplicate fields (out of unique): 1120
Non-duplicate fields (out of unique): 1591

================================================================================
DUPLICATE FIELDS (sorted by frequency)
================================================================================

 353x | Jahr
   1x | Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013)
   1x | Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr
   1x | Flugzeugbewegungen - Nichtgew. Verkehr - gesamt
   1x | Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr
   1x | Flugzeugbewegungen - gesamt
   1x | Fläche in m²
   1x | Freihändige Vergabe
   1x | Fuktionsbezeichnung
   1x | Fächerstatistik
   1x | Fächerstatistik2
   1x | Fälle aufgeklärt
   1x | Fälle erfasst (Tatortprinzip)
   1x | Förderbereich
   1x | Fördermaßnahme
   1x | Förderprojekte
   1x | Fördersumme in €
   1x | G - Wohnung ist zu klein; Angaben in Prozent
   1x | G Handel; Instandhaltung und Reparatur von Kfz
   1x | Gaeste_Anzahl
   1x | Garten am Haus
   1x | Garten in Kleingartensparte
   1x | Gase
   1x | Gastmessen - Anzahl
   1x | Gastmessen - Aussteller
   1x | Gastmessen - Besucher
   1x | Gebaute bzw. geplante Schulplätze
   1x | Geburten
   1x | Gebäudeanzahl
   1x | Gebäudeart
   1x | Gehwege (selbstständige)
   1x | Gemarkung
   1x | Gemeindepfarrer
   1x | Gemeindestraßen
   1x | Gemeinsamer Schulbezirk (nur Grundschulen, falls zutreffend)
   1x | Gemeinschaftsgartenprojekt
   1x | Genehmigungsjahr
   1x | Genesene (geschätzt)
   1x | Genesene (geschätzt, kumuliert)
   1x | Gerade Hausnummer bis
   1x | Gerade Hausnummer von
   1x | Geringfügig Beschäftigte
   1x | Geringfügig entlohnt Beschäftigte
   1x | Gesamt
   1x | Gesamtanzahl
   1x | Gesamtausgaben in Euro
   1x | Gesamtkosten in Euro
   1x | Geschlecht1
   1x | Gesellschaften mbH
   1x | Getötete
   1x | Grundmiete in €/qm-Klassen
   1x | GruppeA
   1x | GruppeB
   1x | Gruppen ****
   1x | Grünau
   1x | H - Wohnung ist zu groß; Angaben in Prozent
   1x | H Verkehr und Lagerei
   1x | Hallenkapazität in qm
   1x | HaltestelleLat
   1x | HaltestelleLon
   1x | Hauptvariante
   1x | Hauptvariante - Einwohner 31.12.2022
   1x | Hauptvariante 2020
   1x | Hauptvariante 2023
   1x | Haushalte
   1x | Haushalte (Promille)
   1x | Haushaltsjahr 2014
   1x | Hauswirtschaftliches und technisches Personal
   1x | Heizenergie
   1x | Heizungsart
   1x | Herkunftsland_37Auspr
   1x | Hnr
   1x | Hochschulart
   1x | Hunderassen
   1x | I - Wohnung/Gebäude ist in schlechtem Zustand bzw. mit Mängeln behaftet; Angaben in Prozent
   1x | I Gastgewerbe
   1x | I/A
   1x | ID;Typ;Bezeichnung;Bereich;Bereichsbezeichnung;Einzelplan;Einzelplanbezeichnung;Kapitel;Kapitelbezeichnung;Hauptgruppe;Hauptgruppenbezeichnung;Obergruppe;Obergruppenbezeichnung;Gruppe;Gruppenbezeichnung;Hauptfunktion;Hauptfunktionsbezeichnung;Oberfunktion;Oberfunktionsbezeichnung;Funktion;Funktionsbezeichnung;Titelart;Titel;Titelbezeichnung;Jahr;BetragTyp;Betrag
   1x | Ident
   1x | Innenstadtrand
   1x | Insolvenzverfahren (insgesamt)
   1x | Internet
   1x | Inventarisierungsdatum
   1x | Ist 2012 T€
   1x | IstFuss
   1x | IstKrad
   1x | IstPKW
   1x | IstRad
   1x | IstSonstig
   1x | IstStrasse
   1x | J Information und Kommunikation
   1x | Jahr (Stichtag 31.12.)
   1x | Jahr 2021
   1x | Jury
   1x | K - Wohnviertel ist zu laut bzw. zu dicht bebaut; Angaben in Prozent
   1x | K Erbringung von Finanz- und Versicherungsdienstleistungen
   1x | KB
   1x | Kapazität nach Baumaßnahme
   1x | Kategorie
   1x | Kaufkraft (Promille)
   1x | Kaufkraft (in Mio EUR)
   1x | Kaufkraft pro Einwohner (Index)
   1x | Kaufkraft pro Einwohner (in EUR)
   1x | Kaufkraft pro Einwohner Index (Europa)
   1x | Kaufkraft pro Haushalt (Index)
   1x | Kaufkraft pro Haushalt (in EUR)
   1x | Kaufkraft pro Haushalt Index (Europa)
   1x | Kennzeichen, Juli 2012
   1x | Kfz-Anhänger
   1x | Kfz-Insgesamt
   1x | Kinder - Entwicklung 2021 zu 2022 in Prozent
   1x | Kinder - Jungen
   1x | Kinder - Mädchen
   1x | Kinder gesamt
   1x | Kinder und 
Jugendliche
   1x | Kindergartenkinder
   1x | Kinderkrippenkinder
   1x | Kinobesuche pro Einwohner
   1x | Kirchengemeinden
   1x | Kitaliste Nov 2025
   1x | Kleingarten in einem Kleingartenverein
   1x | Klärwerk
   1x | Kohorte
   1x | Kommentare
   1x | Kontaktperson
   1x | Konzerte - Anzahl
   1x | Konzerte - Aussteller
   1x | Konzerte - Besucher
   1x | Koordinaten
   1x | Kosten
   1x | Kosten in Euro 
   1x | Kraftfahrzeuganhänger insgesamt
   1x | Kraftfahrzeuge insgesamt
   1x | Krafträder
   1x | Kraftstoff_Energiequelle
   1x | Kraftstoffart
   1x | Krankenhausapotheken
   1x | Kreisstraßen
   1x | Kreisstraßen (Baulast der Stadt)
   1x | Kurzbezeichnung
   1x | Kurzbericht über die Entwicklung des Kulturetats der Hauptverwaltung [in EUR]
   1x | L - zu wenig öffentliches Grün im Wohnviertel; Angaben in Prozent
   1x | L Grundstücks- und Wohnungswesen
   1x | LOR
   1x | Laborbestätigte Fälle (Meldedatum)
   1x | Laborbestätigte Fälle (kumuliert)
   1x | Laborbestätigte Fälle (übermittelt)
   1x | Land
   1x | Land Berlin und sonstige Einrichtungen
   1x | Lat
   1x | Latitude
   1x | Leichtverletzte
   1x | Leinwände
   1x | Leipzig
   1x | Leipzig. Frauen
   1x | Leipzig. Männer
   1x | Leipziger Bevölkerungsvorausschätzung 2019 Hauptvariante
   1x | Leipziger Bevölkerungsvorausschätzung 2019 Oberes Szenario
   1x | Leipziger Bevölkerungsvorausschätzung 2019 Unteres Szenario
   1x | Lfd. Nr.
   1x | Lfd.-Nr.
   1x | Liegenschaft
   1x | Lon
   1x | Longitude
   1x | Luftfracht - Durchgang (Transit) (in t)
   1x | Luftfracht - Umschlag (an + ab) (in t)
   1x | Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t)
   1x | Luftfracht - Umschlag (an + ab), dav. Einladungen (in t)
   1x | Luftfracht - gesamt (in t)
   1x | Luftfracht/Luftpost - gesamt (in t) (ab 2016)
   1x | Luftpost - gesamt (in t) (ab 2008)
   1x | Lärm durch Anwohner
   1x | Lärm durch Eisenbahnverkehr
   1x | Lärm durch Flugverkehr
   1x | Lärm durch Straßenverkehr
   1x | Lärm von Baustellen
   1x | Lärm von Gewerbe/Industrie
   1x | M - gesundheitliche Gründe (Wohnung ist nicht alten- bzw. behindertengerecht); Angaben in Prozent
   1x | M Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen
   1x | Mail
   1x | Medienbestand
   1x | Mediennummer
   1x | Medientypcode
   1x | Messwert
   1x | Methode
   1x | Mig. Hinter-grund
   1x | Mig. Hintergrund
   1x | Mig.Hinter-grund
   1x | Mineralöle und Mineralölprodukte 
   1x | Minimum der Lufttemperatur am Erdboden in 5cm Höhe
   1x | Mitmacher_gesucht
   1x | Modelltyp
   1x | N - Entmietung Sanierung Abriss des Gebäudes; Angaben in Prozent
   1x | N Erbringung von sonstigen wirtschaftlichen Dienstleistungen
   1x | NRF Summe Gebäude
   1x | N_(Hochwert_Gauß-Krüger)
   1x | N_(Lat_Dezimalgrad)
   1x | Nachname
   1x | Name 
   1x | Nettospiel-
fläche m² (netto)
   1x | Nichtoffenes Verfahren
   1x | Niederschlagsform
   1x | Note für Stadt
   1x | Note für Wohngegend
   1x | Note für Wohnung
   1x | Nummer Fußnote
   1x | Nutzfahrzeuge
   1x | Nutzungsentgelt 
   1x | Nutzungsübergabe
   1x | O - Kündigung durch den Vermieter; Angaben in Prozent
   1x | OBJECTID
   1x | Obere Variante - Einwohner 31.12.2022
   1x | Obere_Variante
   1x | Objekt/Straße
   1x | Objekt_Zusatz
   1x | Objektadresse
   1x | Objektname
   1x | Objektnummer
   1x | Offenes Verfahren
   1x | Organisatoren_Teilnehmer
   1x | Ort/Termin
   1x | Ortschaften
   1x | Ortschaftsgebiet
   1x | Ortsteil- bzw. Stadtbezirksnummer
   1x | Ortsteil-ID
   1x | Ortsteil_nach
   1x | Ortsteil_vor
   1x | Ortsteilnummer
   1x | Ostdeutschland ohne Sachsen
   1x | P - vermehrte Arbeit im Homeoffice; Angaben in Prozent
   1x | PDFLink
   1x | Pachtgarten nicht in einem Kleingartenverein
   1x | Parkplatzkapazität (Kfz)
   1x | Partei_ID
   1x | Partei_Name
   1x | Patenbesuch
   1x | Personal insgesamt
   1x | Personalkosten Beschaeftigte gesamt in Mio EUR
   1x | Personen 20 m²/ Pers.
   1x | Personengesellschaften
   1x | Pfarreien
   1x | Pfarrseelsorger
   1x | Pkw_gewerblich
   1x | Pkw_privat
   1x | Pos.-Nr. der ICD-10
   1x | Preise 
(von/bis)
   1x | Primärenergieproduktivität
   1x | Prio
   1x | Private Company Limited by Shares (Ltd)
   1x | Probennummer
   1x | Produkte/Sektoren
   1x | Profil
   1x | ProfilLink
   1x | PrognoseLink
   1x | Projektbeschreibung
   1x | Projektgebiet
   1x | Projektjahr
   1x | Projettitel
   1x | Pädagogisches Personal und Verwaltungspersonal
   1x | Pädagogisches Personal und Verwaltungspersonal - Alter - 25 bis unter 40 Jahre 
   1x | Pädagogisches Personal und Verwaltungspersonal - Alter - 40 bis unter 54 Jahre
   1x | Pädagogisches Personal und Verwaltungspersonal - Alter - 55 Jahre und älter
   1x | Pädagogisches Personal und Verwaltungspersonal - Alter - unter 25 Jahre
   1x | Pädagogisches Personal und Verwaltungspersonal - Geschlecht - männlich
   1x | Pädagogisches Personal und Verwaltungspersonal - Geschlecht - weiblich
   1x | Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - 38 und mehr 
   1x | Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung - Angestellte
   1x | Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung - Personen im freiwilligen sozialen Jahr/ BFD
   1x | Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung - Sonstige
   1x | Q - anderer Grund (bitte nennen); Angaben in Prozent
   1x | Q Gesundheits- und Sozialwesen
   1x | Qualitätsniveau der nachfolgenden Spalten (QN_3)
   1x | Qualitätsniveau der nachfolgenden Spalten (QN_4)
   1x | R Kunst, Unterhaltung und Erholung
   1x | RSS_Name
   1x | Radwege-kombinierte Rad-Gehwege
   1x | Rang1
   1x | Raumanzahl (durchschnittliche)
   1x | Realisierte Kurzarbeit - Beschäftigte in Kurzarbeit
   1x | Realisierte Kurzarbeit - Betriebe
   1x | Region
   1x | Registrierungssdatum
   1x | Reinigungsgebiet
   1x | Rentner
   1x | Rückbau-Art
   1x | Rückbaugebiete
   1x | S Erbringung von sonstigen Dienstleistungen
   1x | SBB
   1x | SBB_Anzahl
   1x | SCHADENSHOEHE
   1x | SJ 21/22
   1x | SJ 22/23
   1x | SJ 23/24
   1x | SJ 24/25
   1x | SUBahn
   1x | SUEntfernung
   1x | Sachgruppe
   1x | Sachsen ohne Umlandkreise
   1x | Samstag
   1x | Schadstoffgruppe für Kraftfahrzeuge (Umwelt-Plakette) nach Feinstaubverordnung
   1x | Schlagworte
   1x | Schul-Nr.
   1x | Schulbausanierung Maßnahme
   1x | Schuldenstand am Ende des Berichtsquartals (in Euro)
   1x | Schuldnerart - Verbraucher
   1x | Schuldnerart - ehemals selbstständig Tätige mit Regelinsolvenzverfahren
   1x | Schuldnerart - ehemals selbstständig Tätige mit Verbraucherinsolvenzverfahren
   1x | Schuldnerart - natürrliche Personen als Gesellschafter u.Ä., Nachlässe u. Gesamtgut
   1x | Schulnr.
   1x | Schulplätze
   1x | Schwerbehindertenquote  (in %)
   1x | Schwerverletzte
   1x | Schüler
   1x | Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt
   1x | Servicenummer
   1x | Sicht
   1x | Sigel ausführende Bibliothek
   1x | Sigel besitzende Bibliothek
   1x | Sitzplätze
   1x | Sitzung_stattgefunden
   1x | Sitzungsart
   1x | Sitzungsdauer_in_Minuten
   1x | Sonderthemen
   1x | Sonntag
   1x | Sonstige Veranstaltungen - Anzahl
   1x | Sonstige Veranstaltungen - Aussteller
   1x | Sonstige Veranstaltungen - Besucher
   1x | Sonstiges
   1x | Sozialversicherungspflichtig Beschäftigte
   1x | Spielstätten
   1x | Sprachen
   1x | StaLa Sachsen 2020 7. regionalisierte Prog. V1
   1x | StaLa Sachsen 2020 7. regionalisierte Prog. V2
   1x | Staatsstraßen
   1x | Staatsstraßen (Baulast der Stadt)
   1x | Stadt bzw. Landkreis
   1x | Stadtbezirksbeirat
   1x | Stadtratswahkreis
   1x | Stadtteil
   1x | Stadtteil (Kriminalität)
   1x | Stadtteil zus. (Kriminalität)
   1x | Start
   1x | Station
   1x | Stationsidentifikationsnummer
   1x | Status 
(grün=offen, gelb: Öffnung steht bevor, rot: noch geschlossen)
   1x | Steinkohlen
   1x | Sterbefälle
   1x | Sterbefälle (kumuliert)
   1x | Steuereinnahmen Berlins im Monat Januar 2014
   1x | Stichtag
   1x | Strasse, Haus-Nr.
   1x | Strassenschluessel
   1x | Straße + Hausnummer
   1x | Straßen des überörtlichen Verkehrs (gesamt)
   1x | Straßenbrücken (Anzahl)
   1x | Straßentunnel (Anzahl)
   1x | Strom 2019 [kWh/a]
   1x | Strom 2020 [kWh/a]
   1x | Strom 2021 [kWh/a]
   1x | Strom 2022 [kWh/a]
   1x | Strom 2023 [kWh/a]
   1x | Strom und andere Energieträger
   1x | Stromverbrauch [kWh]
   1x | Studenten
   1x | Studienanfänger im Berichtsjahr gesamt
   1x | Studierende
   1x | Summe in TEUR
   1x | Symbol
   1x | TATZEIT_ANFANG_DATUM
   1x | TATZEIT_ANFANG_STUNDE
   1x | TATZEIT_ENDE_DATUM
   1x | TATZEIT_ENDE_STUNDE
   1x | TN_VW
   1x | Tabellenkopf
   1x | Tage
   1x | Tagesmaximum Windspitze
   1x | Tagesmaximum der Lufttemperatur in 2m Höhe
   1x | Tagesminimum der Lufttemperatur in 2m Höhe
   1x | Tagesmittel Windgeschwindigkeit
   1x | Tagesmittel der Relativen Feuchte
   1x | Tagesmittel der Temperatur
   1x | Tagesmittel des Bedeckungsgrades
   1x | Tagesmittel des Dampfdruckes
   1x | Tagesmittel des Luftdrucks
   1x | Tageswert Schneehöhe
   1x | Tagungen - Anzahl
   1x | Tagungen - Aussteller
   1x | Tagungen - Besucher
   1x | Target
   1x | Tarifzone
   1x | Tarifzone (Erläuterung: 1 = 1, 2 = 2, 3 = 3)
   1x | Tatverdächtige insgesamt
   1x | Teilverkehrszelle
   1x | Telefon
   1x | Temp
   1x | Termin
   1x | Termin bis
   1x | Termin von
   1x | Tielbezeichnung
   1x | Tilgung (in Euro)
   1x | Titel_der_Initiative
   1x | Todesursache
   1x | Tourismus
   1x | Tourismus_Betriebe gesamt
   1x | Tourismus_Betten gesamt
   1x | Traeger
   1x | Traeger 
   1x | Treffpunkt
   1x | Träger 
   1x | Träger bzw. Verantwortlicher
   1x | Trägerwohnraum in der psychiatrischen, ambulanten Pflichtversorgung Berlin-Mitte
   1x | Tunnelstrecke an Bundesautobahn
   1x | Tunnelstrecke an Straßen des überörtlichen Verkehrs
   1x | UART
   1x | UB: Arbeitslosigkeit im weiteren Sinne
   1x | UB: Personen fern vom Arbeitslosenstatus
   1x | UB: Personen im weiteren Sinne arbeitslos
   1x | UB: Personen nahe am Arbeitslosenstatus
   1x | UB: Unterbeschäftigung im engeren Sinne
   1x | UB: Unterbeschäftigung im weiteren Sinne (ohne Kurzarbeit)
   1x | UGEMEINDE
   1x | UJAHR
   1x | UKATEGORIE
   1x | UKREIS
   1x | ULAND
   1x | UMONAT
   1x | UREGBEZ
   1x | USTUNDE
   1x | UTYP1
   1x | UWOCHENTAG
   1x | UWW_Code
   1x | UWW_Name
   1x | Umlandkreise - Nordsachsen und LK Leipzig
   1x | Umzugsdatum
   1x | Unbekannt
   1x | Unfälle mit Personenschaden
   1x | Unfälle mit schwerwiegendem Sachschaden durch Einfluss berauschender Mittel
   1x | Unfälle mit schwerwiegendem Sachschaden im engeren Sinne
   1x | Ungerade Hausnummer bis
   1x | Ungerade Hausnummer von
   1x | Unnamed: 23
   1x | Unnamed: 24
   1x | Unnamed: 26
   1x | Unnamed: 27
   1x | Unnamed: 28
   1x | Unnamed: 30
   1x | Unnamed: 31
   1x | Unnamed: 32
   1x | Unnamed: 33
   1x | Unnamed: 34
   1x | Unterbeschäftigungsquote
   1x | Untere_Variante
   1x | Untergruppe
   1x | Unterkunftsart
   1x | Unterkunftsart_nach
   1x | Unterkunftsart_vor
   1x | Unterrichtsräume
   1x | Url zu Biografie
   1x | VERSUCH
   1x | Veranstaltungsort
   1x | Verbrauch Wärme (witterungsbereinigt)  2019 [kWh/a]
   1x | Verbrauch Wärme (witterungsbereinigt)  2020 [kWh/a]
   1x | Verbrauch Wärme (witterungsbereinigt)  2021 [kWh/a]
   1x | Verbrauch Wärme (witterungsbereinigt)  2022 [kWh/a]
   1x | Verbrauch Wärme (witterungsbereinigt)  2023 [kWh/a]
   1x | Verfahren insgesamt
   1x | Verfgbare Mittel
   1x | Verfgbares Soll
   1x | Verfgungsbeschr?nkung
   1x | Vergabeart
   1x | Vergabesumme in TEUR
   1x | Verhandlungsverfahren mit Teilnahmewettbewerb
   1x | Verhandlungsverfahren ohne Teilnahmewettbewerb
   1x | Verkehrseinheiten (VE)
   1x | Versorgungsgrad Kindergarten in %
   1x | Versorgungsgrad Kinderkrippe in %
   1x | Vertrag
   1x | Veröffentlichungsjahr
   1x | Voraussichtliche Forderungen in Mio. Euro
   1x | Voraussichtliches_Ende
   1x | Vorlagen_und_Antraege
   1x | Vorname1
   1x | WZ-Abschnitt 2008 (1 Buchstabe)
   1x | WZ-Abschnitt 2008 (1 Buchstabe) zus.
   1x | Wahlart
   1x | Wahlobjekt
   1x | Wahlraum
   1x | Wanderungssaldo 2018
   1x | Wanderungssaldo 2019
   1x | Wanderungssaldo 2020
   1x | Wanderungssaldo 2021
   1x | Wanderungssaldo 2022
   1x | Wasserqualitaet
   1x | Wasserqualitaet_lageso
   1x | Wasserqualitaet_predict
   1x | Wbz
   1x | Website
   1x | Wegezweck
   1x | Wegzug - alte Definition
   1x | Wegzug - revidiert
   1x | Weitere Öffnungszeiten
   1x | Weitere_Hinweise
   1x | Westdeutschland
   1x | Wickeltisch
   1x | Wintersemester
   1x | Wochenendgrundstück
   1x | Wochentag
   1x | Wohnfläche
   1x | Wohnfläche pro Person
   1x | Wärmemedium
   1x | Wärmeverbrauch witterungsbereinigt [kWh]
   1x | XGCSWGS84
   1x | YGCSWGS84
   1x | Z?hler
   1x | Zahlungsart
   1x | Zeitfenster
   1x | Zentrum
   1x | Zentrum in Transformation
   1x | Zielgruppe
   1x | Zukunftsort
   1x | Zuordnung
   1x | Zusammengefasste Geburtenziffer 
   1x | Zusatz
   1x | Zuzug - alte Definition
   1x | Zuzug - revidiert
   1x | Zügigkeit nach Baumaßnahme
   1x | abs_nr
   1x | abs_nr17
   1x | absolut
   1x | aktive technik verbaut 
   1x | aktueller status
   1x | altersbereich
   1x | amtliche Einwohnerzahl Basis: Zensus 2011
   1x | anschluss nutzbar
   1x | anschlussltg_kw
   1x | ansprechpartner
   1x | art_des_gebiets
   1x | art_dtsch
   1x | attributes.ANORDNUNG
   1x | attributes.ANZAHL_LADEPUNKTE
   1x | attributes.ANZAHL_LADESAEULEN
   1x | attributes.AREA_HA
   1x | attributes.AREA_QM
   1x | attributes.ATTRIBUT_DATUM
   1x | attributes.AUSLAGESTELLE
   1x | attributes.AUSLEGUNG
   1x | attributes.Auslegung
   1x | attributes.BARRIEREFREI
   1x | attributes.BAUMART
   1x | attributes.BAUMNUMMER
   1x | attributes.BAUMSCHLUESSEL
   1x | attributes.BEKANNTMACHUNG
   1x | attributes.BESCHLUSS
   1x | attributes.BETRIEBSSTATUS
   1x | attributes.BEZAHLSYSTEM
   1x | attributes.BEZEICHNUNGZUSATZ
   1x | attributes.BEZUGNR
   1x | attributes.B_NR
   1x | attributes.CreationDate
   1x | attributes.Creator
   1x | attributes.DAMENTOILETTE
   1x | attributes.DIG_DATUM
   1x | attributes.EINLEITUNG
   1x | attributes.EINRICHTUNGSNAME
   1x | attributes.EINZUGSGEBIET
   1x | attributes.ERKLAERUNG
   1x | attributes.EditDate
   1x | attributes.Editor
   1x | attributes.GEBIET
   1x | attributes.GEBIETNR
   1x | attributes.GEBIETSARTNUMMER
   1x | attributes.GEBIETSNAME
   1x | attributes.GEBNR
   1x | attributes.GEMEINDESCHLUESSEL
   1x | attributes.GENEHMIGUNG
   1x | attributes.GEWAESSER
   1x | attributes.GEWORDNUNG
   1x | attributes.Gewaesser
   1x | attributes.GewaesserOrdnung
   1x | attributes.GlobalID
   1x | attributes.HAUSNUMMER
   1x | attributes.HERRENTOILETTE
   1x | attributes.HORT
   1x | attributes.INBETRIEBNAHMEDATUM
   1x | attributes.INFO
   1x | attributes.INKRAFTSEIT
   1x | attributes.INTEGRATIV
   1x | attributes.KGGS
   1x | attributes.KITA
   1x | attributes.LANDKREIS
   1x | attributes.LFDNR
   1x | attributes.NENNLEISTUNG
   1x | attributes.NUTZNR
   1x | attributes.NUTZUNG
   1x | attributes.NUTZUNG_LANG
   1x | attributes.OBJEKTSCHLUESSEL
   1x | attributes.OEFFNUNGSZEITEN
   1x | attributes.ORIENTATION
   1x | attributes.PFLANZDATUM
   1x | attributes.PROFILE
   1x | attributes.RECHTSSTATUS
   1x | attributes.RECHT_URL
   1x | attributes.ROLLSTUHLGERECHT
   1x | attributes.SCHUTZZONE
   1x | attributes.SNUMMER
   1x | attributes.SPRACHEN
   1x | attributes.STADTNAME
   1x | attributes.STANDORT
   1x | attributes.STANDORTTYP
   1x | attributes.Shape__Area
   1x | attributes.Shape__Length
   1x | attributes.Status
   1x | attributes.TEILZONE
   1x | attributes.TRAEGERTYP
   1x | attributes.TYPE
   1x | attributes.TYP_ERWEITERT
   1x | attributes.UML_NR
   1x | attributes.VERBUND
   1x | attributes.VERFUEGBARE_STECKERTYPEN
   1x | attributes.WAHLBEZIRK
   1x | attributes.WICKELTISCH
   1x | attributes.WWW
   1x | attributes.XPLANUNG
   1x | attributes.inKraftseit
   1x | ausbau
   1x | ausgesprochene Adoptionen im Berichtsjahr
   1x | ausschließlich geringfügig Beschäftigte
   1x | barrierearm
   1x | barrierefrei
   1x | baulast
   1x | baumhoehe
   1x | baumnr
   1x | baumnummer
   1x | begehung 
   1x | bemerkungen
   1x | beschlussfähig
   1x | beschreibung
   1x | bestelladresse
   1x | bestellbarkeit
   1x | betreiber
   1x | bewaesserungsmenge_in_liter
   1x | bezID
   1x | bezNAME
   1x | bike_lft
   1x | bike_rgt
   1x | bike_total
   1x | bis_str
   1x | bis_str_nr
   1x | breitengrad
   1x | briefwaehler
   1x | bzrID
   1x | bzrNAME
   1x | car_lft
   1x | car_rgt
   1x | car_speed0
   1x | car_speed10
   1x | car_speed20
   1x | car_speed30
   1x | car_speed40
   1x | car_speed50
   1x | car_speed60
   1x | car_speed70
   1x | car_total
   1x | cb
   1x | classification
   1x | darunter Allgemeinmedizin
   1x | darunter Chirugie
   1x | darunter Frauenheilkunde
   1x | darunter Innere Medizin
   1x | darunter Kinder- und Jugendmedizin
   1x | darunter Krafträder
   1x | darunter LKW
   1x | darunter PKW
   1x | darunter Verarbeitendes Gewerbe (in Mill. Euro)
   1x | darunter Zugmaschienen
   1x | darunter eröffnete Verfahren
   1x | darunter in Praxen
   1x | date_local
   1x | datum_des_beginns
   1x | datum_des_beginns_des_vorhabens
   1x | datum_des_endes
   1x | datum_des_endes_des_vorhabens
   1x | davon Auszubildende in  Branddirektion
   1x | davon Auszubildende in Verwaltungsberufen
   1x | davon Auszubildende in gewerblich-technischen und weiteren Berufen
   1x | davon Auszubildende in soziale Berufen
   1x | davon Baugewerbe (in Mill. Euro)
   1x | davon Grundstücks- und Wohnungswesen, Finanz- und Unternehmensdienstleister (in Mill. Euro)
   1x | davon Handel, Verkehr und Gastgewerbe, Information und Kommunikation (in Mill. Euro)
   1x | davon Land- und Forstwirtschaft, Fischerei (in Mill. Euro)
   1x | davon Produzierendes Gewerbe (in Mill. Euro)
   1x | davon Studierende in  Branddirektion
   1x | davon Studierende in Verwaltungsberufen
   1x | davon Studierende in gewerblich-technischen und weiteren Berufen
   1x | davon Studierende in sozialen Berufen
   1x | davon ohne Angabe
   1x | davon Öffentliche und sonstige Dienstleister, Erziehung und Gesundheit (in Mill. Euro)
   1x | deutsch sprechen männlich
   1x | deutsch sprechen weiblich
   1x | deutsch verstehen männlich
   1x | deutsch verstehen weiblich
   1x | dt_name
   1x | durchm_aussen_mm
   1x | durchm_innen_mm
   1x | dynamicdata
   1x | e_mail
   1x | east_etrs89
   1x | eigentuemer
   1x | einmal
   1x | einrichtung
   1x | einrichtung_projekte
   1x | email
   1x | ergänzende Informationen
   1x | erscheinungsjahr
   1x | erschlname
   1x | et_pegel_m
   1x | facilitylocationwgs84lat
   1x | facilitylocationwgs84lon
   1x | feldbezeichner
   1x | fid
   1x | finanzierungsform
   1x | fiok_m_nhn
   1x | fiok_u_gok
   1x | fiuk_m_nhn
   1x | fiuk_u_gok
   1x | ga_lang_deutsch
   1x | ga_lang_wiss
   1x | gar nicht
   1x | gattung
   1x | gattung_deutsch
   1x | geaendert
   1x | gefahrdrohendes Anspringen von Menschen
   1x | geometry.paths
   1x | gesamtbetrag_der_fšrderfŠhigen_ausgaben_des_vorhabens
   1x | gesamtbetrag_förderfähiger_ausgaben
   1x | geschaetzte_Teilnehmerzahl
   1x | gilt_bis
   1x | gilt_von
   1x | globalid
   1x | gueltige_stimmen
   1x | gwm_name
   1x | h_ueber_nn
   1x | haushaltsid
   1x | haushaltstyp
   1x | heavy_lft
   1x | heavy_rgt
   1x | heavy_total
   1x | herkunftsregion
   1x | hnr_z
   1x | homepage
   1x | id;bezirk;name;shortname;strasse;plz_ort;von;bis;veranstalter;oeffnungszeiten;email;w3;bemerkungen;lat;lng;RSS-Titel;RSS-Beschreibung;immer-kostenlos;Mo;Di;Mi;Do;Fr;Sa;So;closed-exc;closed-exc-readable;hours-exc;hours-exc-readable;ignore;merged;international;action;image;urheberschaft;train;train_distance;short_distance
   1x | im Ausland; Angaben in Prozent
   1x | im selben Stadtbezirk; Angaben in Prozent
   1x | im selben Wohnviertel wie bisher; Angaben in Prozent
   1x | in %
   1x | in %.1
   1x | in %.2
   1x | in Adoptionspflege untergebrachte Kinder und Jugendliche am Jahresende
   1x | in Adoptionspflege untergebrachte Kinder und Jugendliche am Jahresende - männlich
   1x | in Adoptionspflege untergebrachte Kinder und Jugendliche am Jahresende - weiblich
   1x | in Krankenhausapotheken - insgesamt
   1x | in Krankenhausapotheken - männlich
   1x | in Krankenhausapotheken - weiblich
   1x | in Sachsen außer Leipzig und näherer Umgebung; Angaben in Prozent
   1x | in der näheren Umgebung Leipzigs max. 30 Min. mit dem Pkw von Leipzig entfernt; Angaben in Prozent
   1x | in einem Gemeinschaftsgarten
   1x | in einem anderen Stadtbezirk Leipzigs; Angaben in Prozent
   1x | in einem anderen der neuen Bundesländer außer nähere Umgebung; Angaben in Prozent
